year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean
2020,April,4,15,Punjab,Sheikhupura,1,0,23.69,63.44714285714286,2.09,2.3042857142857143
2020,April,4,16,Punjab,Sheikhupura,1,0,25.571428571428573,58.31428571428571,20.999999999999996,2.9585714285714286
2020,April,4,13,Punjab,Kasur,1,0,20.997142857142858,68.68428571428572,39.699999999999996,2.4814285714285718
2020,April,4,14,Punjab,Kasur,1,0,21.254285714285714,62.60285714285715,3.99,2.607142857142857
2020,April,4,15,Punjab,Kasur,1,0,24.474285714285713,56.17857142857143,1.1600000000000001,2.345714285714286
2020,April,4,16,Punjab,Kasur,1,0,26.689999999999998,51.41285714285714,14.620000000000001,3.0100000000000002
2020,April,4,13,Punjab,Sialkot,1,0,19.169999999999998,77.40285714285713,96.72,2.6357142857142857
2020,April,4,14,Punjab,Sialkot,2,0,19.485714285714288,70.81857142857143,21.810000000000002,2.4785714285714286
2020,April,4,15,Punjab,Sialkot,1,0,22.495714285714286,67.61,3.1599999999999997,2.337142857142857
2020,April,4,16,Punjab,Sialkot,1,0,24.72142857142857,65.85857142857142,25.38,2.4514285714285715
2020,April,4,13,Punjab,Sargodha,1,0,19.417142857142856,79.10285714285715,69.38,2.16
2020,April,4,14,Punjab,Sargodha,1,0,20.301428571428573,70.83,23.05,1.8442857142857143
2020,April,4,15,Punjab,Sargodha,1,0,22.974285714285713,70.16142857142857,4.63,2.1957142857142857
2020,April,4,16,Punjab,Sargodha,0,0,24.595714285714287,65.63000000000001,31.299999999999997,2.815714285714286
2020,April,4,13,Punjab,Bahawalpur,1,0,21.447142857142858,71.93428571428572,51.879999999999995,2.652857142857143
2020,April,4,14,Punjab,Bahawalpur,1,0,22.2,61.470000000000006,3.63,2.5085714285714285
2020,April,4,15,Punjab,Bahawalpur,1,0,24.752857142857145,60.95857142857143,3.12,2.457142857142857
2020,April,4,16,Punjab,Bahawalpur,1,0,27.26571428571429,54.80571428571428,3.5200000000000005,3.0371428571428574
2020,April,4,13,Punjab,Jhang,1,0,19.87857142857143,77.10571428571428,62.41,2.142857142857143
2020,April,4,14,Punjab,Jhang,1,0,20.784285714285716,67.66714285714286,17.099999999999998,1.8757142857142857
2020,April,4,15,Punjab,Jhang,1,0,23.45,66.96285714285715,4.42,2.0357142857142856
